Model,R2 Score,MAE,RMSE
Random Forest (tuned),0.9607551173461422,0.6290408326600602,0.9508042970884251
Random Forest (baseline),0.9585062261000676,0.6409344262295075,0.9776672929671447
XGBoost,0.9503445093064774,0.60863793685788,1.0695060788827357
Linear Regression,0.8466933023652077,1.2220347709795834,1.8792310637313436
